# Id,Values
1,4.094
2,4.072
3,4.094
4,4.318
5,4.160
6,5.154
7,3.408
8,5.582
9,5.294
10,6.803
11,5.239
12,4.426
13,5.692
14,6.305
15,4.743
16,5.582
17,5.554
18,4.339
19,5.554
20,4.448
21,3.740
22,4.680
23,3.545
24,4.671
25,4.715
26,4.550
27,3.207
28,4.671
29,4.116
30,5.123
31,4.208
32,4.304
33,4.203
34,4.094
35,4.650
36,5.194
37,4.116
38,5.486
39,3.740
40,6.546
41,4.650
42,4.882
43,3.382
44,4.094
45,4.773
46,4.116
47,1.712
48,2.470
49,5.381
50,4.448
51,4.882
52,5.381
53,4.895
54,4.231
55,3.762
56,4.932
57,2.774
58,4.939
59,2.340
60,4.448
61,3.408
62,3.877
63,3.103
64,4.771
65,4.260
66,5.359
67,5.127
68,4.925
69,5.414
70,3.784
71,3.762
72,5.075
73,4.426
74,5.207
75,5.850
76,4.426
77,4.671
78,4.671
79,4.925
80,4.615
81,3.668
82,3.582
83,2.845
84,3.762
85,5.394
86,3.740
87,4.333
88,4.658
89,5.075
90,6.835
91,4.939
92,3.207
93,3.964
94,4.470
95,4.671
96,3.668
97,4.808
98,4.882
99,4.673
100,4.678
101,3.322
102,3.408
103,4.231
104,3.762
105,3.740
106,4.072
107,6.008
108,4.318
109,4.932
110,5.256
111,3.228
112,6.608
113,5.403
114,4.628
115,3.539
116,6.160
117,3.654
118,5.359
119,4.318
120,4.858
121,4.470
122,5.118
123,4.094
124,5.171
125,5.049
126,1.712
127,4.600
128,3.762
129,3.660
130,3.828
131,3.632
132,3.862
133,5.596
134,2.023
135,2.774
136,2.470
137,4.571
138,4.326
139,1.860
140,4.650
141,5.486
142,3.986
143,4.122
144,3.185
145,3.784
146,3.632
147,4.729
148,3.640
149,4.571
150,5.071
151,3.430
152,4.404
153,4.903
154,3.898
155,4.079
156,4.492
157,5.149
158,6.073
159,4.239
160,3.762
161,5.561
162,4.673
163,3.185
164,6.261
165,3.646
166,5.539
167,4.175
168,4.448
169,4.404
170,4.693
171,4.426
172,4.218
173,3.664
174,4.404
175,4.433
176,4.181
177,5.596
178,4.925
179,3.972
180,4.882
181,3.719
182,3.762
183,4.693
184,2.889
185,2.551
186,3.430
187,4.181
188,5.149
189,5.618
190,5.049
191,5.755
192,4.693
193,4.895
194,5.858
195,3.408
196,6.441
197,5.480
198,4.296
199,4.268
200,4.094
201,4.072
202,4.492
203,4.650
204,5.075
205,4.541
206,3.784
207,4.269
208,3.539
209,3.560
210,3.762
211,5.403
212,4.339
213,4.116
214,3.430
215,5.002
216,3.517
